Timestamp,Sign,MBTI,House,Enneagram,Do you know your wing?,Wing,accuracy.astro,accuracy.mbti,accuracy.house,accuracy.enneagram
8/2/2017 11:22,Taurus,INFP,Hufflepuff,Type 1 (the Reformer or Perfectionist),Yes!,1w2 (the Advocate),3,4,4,5
8/2/2017 11:29,Leo,INTJ,Gryffindor,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w4 (the Iconoclast),1,4,3,4
8/2/2017 11:30,Virgo,ENTJ,Slytherin,Type 8 (the Protector or Challenger),Yes! (you'll be taken to an additional section),8w9 (the Bear),3,5,4,4
8/2/2017 11:32,Leo,ENTJ,Gryffindor,Type 8 (the Protector or Challenger),Nope (that's fine),,4,4,4,2
8/2/2017 11:35,Capricorn,ISFJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,1,4,5,4
8/2/2017 11:36,Taurus,ENFJ,Gryffindor,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),1,3,5,5
8/2/2017 11:39,Virgo,INFJ,Ravenclaw,Type 5 (the Investigator or Observer),Nope (that's fine),,1,2,4,2
8/2/2017 11:39,Gemini,INTJ,Gryffindor,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),3,4,2,3
8/2/2017 11:40,Gemini,INTJ,Gryffindor,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w9 (the Idealist),2,3,4,5
8/2/2017 11:42,Gemini,INTJ,Ravenclaw,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w6 (the Problem-Solver),2,4,4,4
8/2/2017 11:42,Libra,INFJ,Gryffindor,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w3 (the Aristocrat),3,4,5,5
8/2/2017 11:42,Gemini,ENTJ,Gryffindor,Type 3 (the Performer or Achiever),Nope (that's fine),,3,5,5,4
8/2/2017 11:44,Aries,INTP,Gryffindor,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w6 (the Problem-Solver),1,3,4,5
8/2/2017 11:44,Capricorn,INFP,Hufflepuff,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),1,3,3,4
8/2/2017 11:48,Sagittarius,INFJ,Ravenclaw,Type 3 (the Performer or Achiever),Yes! (you'll be taken to an additional section),3w4 (the Professional),3,5,3,4
8/2/2017 11:49,Capricorn,ENTJ,Ravenclaw,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,1,5,4,3
8/2/2017 11:50,Libra,INFJ,Ravenclaw,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),4,4,5,4
8/2/2017 11:51,Pisces,INFJ,Gryffindor,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w1 (the Servant),3,4,4,5
